מספר בדיקה,TC_02,תאריך,04/10/2023,
"נוצר ע""י",שנהב אליה,שם הבודק,,
תנאים מקדימים,מחשב המחובר לאינטרנט,סביבה,"OS = Windows 11
Browser = Chrome",
שם הבדיקה,"בדיקה אם בנגישות ה""מונוכרום"" תקין",סוג הבדיקה,נגישות,
צעדים,תיאור הצעדים,תוצאה צפויה,תוצאה בפועל,Pass/Failed
1,הכנס לדפדפן ועבור לאתר https://www.dominos.co.il/,האתר נפתח במקום הנכון,האתר נפתח במקום הנכון,
2,"לחץ על לחצן ""כפתור נגישות""",חלון נגישות צריך להיפתח,חלון נגישות נפתח,
3,"לחץ על ""המירו לצבעים שחור ולבן""",האתר צריך להיות בצבעים שחור ולבן,האתר בצבעים שחור ולבן,עבר
,,,,
שם הבדיקה,"בדיקה אם בנגישות ""הניגודיות כהה"" תקין",סוג הבדיקה,נגישות,
צעדים,תיאור הצעדים,תוצאה צפויה,תוצאה בפועל,Pass/Failed
1,הכנס לדפדפן ועבור לאתר https://www.dominos.co.il/,,,
2,"לחץ על לחצן ""כפתור נגישות""",,,
3,"לחץ על ""ניגודיות כהה""",רקע האתר צריך להיות שחור והגופנים צריכים להיות בהירים,רקע האתר נהייה שחור והגופנים נהיו בהירים,עבר
,,,,
שם הבדיקה,"בדיקה אם בנגישות ""הניגודיות בהירה"" תקין",סוג הבדיקה,נגישות,
צעדים,תיאור הצעדים,תוצאה צפויה,תוצאה בפועל,Pass/Failed
1,הכנס לדפדפן ועבור לאתר https://www.dominos.co.il/,,,
2,"לחץ על לחצן ""כפתור נגישות""",,,
3,"לחץ על ""ניגודיות בהירה""",רקע האתר צריך להיות לבן והגופנים צריכים להיות כהים,רקע האתר הפך ללבן והגופנים הפכו לכהים ,עבר
,,,,
שם הבדיקה,"בדיקה אם בנגישות ה""רוויה נמוכה"" תקין",סוג הבדיקה,נגישות,
צעדים,תיאור הצעדים,תוצאה צפויה,תוצאה בפועל,Pass/Failed
1,הכנס לדפדפן ועבור לאתר https://www.dominos.co.il/,,,
2,"לחץ על לחצן ""כפתור נגישות""",,,
3,"לחץ על לחצן ""רוויה נמוכה""",הצבעים באתר אמורים להיות מופחתים עבור תוכן פחות מודגש,הצבעים של התוכן הפחות מודגש באתר הופחתו,עבר
,,,,
שם הבדיקה,"בדיקה אם בנגישות ה""רוויה גבוהה"" תקין",סוג הבדיקה,נגישות,
צעדים,תיאור הצעדים,תוצאה צפויה,תוצאה בפועל,Pass/Failed
1,הכנס לדפדפן ועבור לאתר https://www.dominos.co.il/,,,
